restaurant_name,location,cuisine,cost_for_two,rating
Jalsa,Banashankari,"North Indian, Mughlai, Chinese",,
Spice Elephant,Banashankari,"Chinese, North Indian, Thai",,
San Churro Cafe,Banashankari,"Cafe, Mexican, Italian",,
Addhuri Udupi Bhojana,Banashankari,"South Indian, North Indian",,
Grand Village,Basavanagudi,"North Indian, Rajasthani",,
Timepass Dinner,Basavanagudi,North Indian,,
Rosewood International Hotel - Bar & Restaurant,Mysore Road,"North Indian, South Indian, Andhra, Chinese",,
Onesta,Banashankari,"Pizza, Cafe, Italian",,
Penthouse Cafe,Banashankari,"Cafe, Italian, Continental",,
Smacznego,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",,
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,Cafe,,
Cafe Shuffle,Banashankari,"Cafe, Italian, Continental",,
The Coffee Shack,Banashankari,"Cafe, Chinese, Continental, Italian",,
Caf-Eleven,Banashankari,"Cafe, Continental",,
Cafe Vivacity,Banashankari,Cafe,,
Catch-up-ino,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",,
Kirthi's Biryani,Banashankari,"Chinese, Cafe, Italian",,
T3H Cafe,Banashankari,"Cafe, Italian, American",,
360 Atoms Restaurant And Cafe,Banashankari,"Cafe, Chinese, Continental, Italian",,
The Vintage Cafe,Banashankari,"Cafe, French, North Indian",,
Woodee Pizza,Banashankari,"Cafe, Pizza, Fast Food, Beverages",,
Cafe Coffee Day,Banashankari,"Cafe, Fast Food",,
My Tea House,Banashankari,"Italian, Fast Food, Cafe, European",,
Hide Out Cafe,Banashankari,Cafe,,
CAFE NOVA,Banashankari,"Cafe, Bakery",,
Coffee Tindi,Banashankari,"Cafe, South Indian",,
Sea Green Cafe,Banashankari,"Cafe, Fast Food, Beverages",,
Cuppa,Banashankari,"Cafe, Fast Food",,
Srinathji's Cafe,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",,
Redberrys,Basavanagudi,"Cafe, Italian",,
Foodiction,Banashankari,"North Indian, Fast Food, Chinese, Burger",,
Sweet Truth,Banashankari,"Bakery, Desserts",,
Ovenstory Pizza,Banashankari,Pizza,,
Faasos,Banashankari,"North Indian, Biryani, Fast Food",,
Behrouz Biryani,Banashankari,Biryani,,
Fast And Fresh,Banashankari,"North Indian, Chinese, Fast Food",,
Szechuan Dragon,Banashankari,"Chinese, Thai, Momos",,
Empire Restaurant,Jayanagar,"North Indian, Mughlai, South Indian, Chinese",,
Maruthi Davangere Benne Dosa,Banashankari,South Indian,,
Chaatimes,Basavanagudi,"Street Food, Fast Food",,
Havyaka Mess,Banashankari,South Indian,,
McDonald's,Banashankari,"Burger, Fast Food",,
Domino's Pizza,Banashankari,"Pizza, Fast Food",,
Hotboxit,Banashankari,"North Indian, Continental, Italian",,
Kitchen Garden,Kumaraswamy Layout,"North Indian, Chinese",,
Recipe,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Rolls",,
Beijing Bites,Rajarajeshwari Nagar,"Chinese, Thai",,
Tasty Bytes,Kumaraswamy Layout,"North Indian, Chinese, Momos, Rolls",,
Petoo,Banashankari,North Indian,,
Shree Cool Point,Vijay Nagar,"Fast Food, Street Food, Beverages",,
Corner House Ice Cream,Banashankari,"Ice Cream, Desserts",,
Biryanis And More,Jayanagar,"Biryani, North Indian, Chinese, Andhra, South Indian",,
Roving Feast,Banashankari,"Italian, Continental, Fast Food, Chinese, Momos",,
FreshMenu,Banashankari,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",,
Banashankari Donne Biriyani,Banashankari,"Biryani, Fast Food",,
Wamama,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",,
Five Star Chicken,Banashankari,"Fast Food, Burger",,
XO Belgian Waffle,Banashankari,"Desserts, Beverages",,
Peppy Peppers,Banashankari,"Italian, North Indian, Mexican",,
Goa 0 Km,Kumaraswamy Layout,"Goan, Seafood, North Indian, Chinese, Biryani",,
Chinese Kitchen,Basavanagudi,Chinese,,
1947,Banashankari,"North Indian, Chinese",,
Cake of the Day,Banashankari,Bakery,,
Kabab Magic,Basavanagudi,"North Indian, Kebab, Chinese, Fast Food",,
Namma Brahmin's Idli,Jayanagar,South Indian,,
Gustoes Beer House,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak",,
Sugar Rush,Banashankari,"Bakery, Desserts",,
Burger King,Basavanagudi,"Burger, Fast Food, Beverages",,
The Good Bowl,Banashankari,"Italian, North Indian, Biryani",,
The Biryani Cafe,Banashankari,"Biryani, Chinese, Kebab",,
Spicy Tandoor,Banashankari,North Indian,,
LSD Cafe,Banashankari,"Chinese, Continental, Italian, North Indian",,
Rolls On Wheels,Banashankari,"Fast Food, Rolls, Momos",,
Om Sri Vinayaka Chats,Banashankari,"Street Food, Fast Food",,
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,South Indian,,
Devanna Dum Biriyani Centre,Banashankari,"Biryani, South Indian",,
Kolbeh,Banashankari,Fast Food,,
Upahar Sagar,Banashankari,"South Indian, Chinese, North Indian",,
Kadalu Sea Food Restaurant,Vijay Nagar,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",,
Frozen Bottle,Banashankari,"Beverages, Desserts, Ice Cream",,
Parimala Sweets,Banashankari,"Mithai, Street Food",,
Vaishali Deluxe,Banashankari,"North Indian, Chinese",,
Chill Out,Banashankari,"South Indian, Chinese",,
The Big O Bakes,Banashankari,"Bakery, Desserts",,
Meghana Foods,Jayanagar,"Biryani, North Indian, Chinese",,
Krishna Sagar,Banashankari,North Indian,,
Dessert Rose,Banashankari,Desserts,,
Chickpet Donne Biryani House,Banashankari,Biryani,,
Me And My Cake,Banashankari,"Bakery, Desserts",,
Sunsadm,Banashankari,South Indian,,
Annapooraneshwari Mess,Banashankari,South Indian,,
Thanco's Natural Ice Creams,Banashankari,Ice Cream,,
Nandhini Deluxe,Banashankari,North Indian,,
Vi Ra's Bar and Restaurant,Banashankari,"South Indian, North Indian, Chinese",,
Kaggis,Banashankari,"Fast Food, Bakery",,
Ayda Persian Kitchen,Banashankari,"North Indian, Iranian",,
Chatar Patar,Banashankari,"Fast Food, Street Food",,
Polar Bear,Basavanagudi,"Ice Cream, Desserts, Beverages, Sandwich",,
